fid,CITY,VENUE,SPORT,city_uid
1,Milano,Stadio Giuseppe Meazza/San Siro,Opening Ceremony,15146
2,Milano,PalaItalia,Ice Hockey,15146
3,Assago,Mediolanum Forum,Figure Skating,15011
4,Assago,Mediolanum Forum,Short Track,15011
5,Rho,Rho Fiera Milano,Speed Skating,15182
6,Rho,Rho Fiera Milano,Ice Hockey,15182
7,Bormio,Stelvio,Men's Alpine Skiing,14009
8,Bormio,To be defined,Ski Mountaineering,14009
9,Livigno,"Mottolini/Sitas, Tagliede/Carosello 3000",Freestyle,14037
10,Livigno,"Mottolini/Sitas, Tagliede/Carosello 3000",Snowboarding,14037
11,Predazzo,Stadio del salto Giuseppe Del Ben,Ski Jumping,22147
12,Predazzo,Stadio del salto Giuseppe Del Ben,Nordic Combined,22147
13,Tesero,Centro del fondo e del biathlon Fabio Canal,Cross-Country Skiing,22196
14,Tesero,Centro del fondo e del biathlon Fabio Canal,Nordic Combined,22196
16,Cortina d'Ampezzo,Olimpia delle Tofane,Women's Alpine Skiing,25016
17,Cortina d'Ampezzo,Stadio olimpico del ghiaccio,Curling,25016
18,Cortina d'Ampezzo,To be defined,Bobsleigh,25016
19,Cortina d'Ampezzo,To be defined,Skeleton,25016
20,Cortina d'Ampezzo,To be defined,Luge,25016
21,Verona,Arena di Verona,Closing Ceremony,23091
